Source Video ID,Source Title,Source Channel Name,Source Views,Source Publish Time,Target Video ID,Target Title,Target Channel Name,Target Views,Target Publish Time,Depth
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,32000,1 month ago,MULrP0nEIM4,The 18 Best Things to Do in Paris (By a Travel Expert) 🇫🇷,Destination Well Known,11000,3 weeks ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,32000,1 month ago,sHKXlAnVgo8,Why is it so Easy to be Thin in France?,Lucile,397000,1 month ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,32000,1 month ago,GkxzKuL5gP4,Why Are French People So Rude? My Thoughts as Local!,Lucile,180000,10 days ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,32000,1 month ago,1l-wADWFER8,Inside Europe’s Most Expensive City🇨🇭,Peter Santenello,854000,1 month ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,32000,1 month ago,1CIUhyNtTfg,20 Japanese Businesses Making The Most Expensive Products In The World | Business Insider Marathon,Business Insider,9400000,11 months ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,32000,1 month ago,YQGai2PVHBs,How 20 Cheeses Are Made Around The World | Regional Eats | Insider Food Marathon,Insider Food,12000000,1 year ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,32000,1 month ago,AERLmalKz_U,How 19 Traditional Italian Foods Are Made | Regional Eats | Insider Food Marathon,Insider Food,3100000,1 year ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,32000,1 month ago,eeyJt_bXxhA,How Japan is Destroying American Fast Food!!,More Best Ever Food Review Show,661758,23 hours ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,32000,1 month ago,hA_yupbUqTQ,I Tried Europe’s 1-Star Hotels,Simon Wilson,536000,3 days ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,32000,1 month ago,Lx-vXzGgFZk,I Tried The Worst Sleeper Train in Europe,Simon Wilson,661000,1 month ago,1
MULrP0nEIM4,The 18 Best Things to Do in Paris (By a Travel Expert) 🇫🇷,Destination Well Known,11000,3 weeks ago,OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,32000,1 month ago,2
MULrP0nEIM4,The 18 Best Things to Do in Paris (By a Travel Expert) 🇫🇷,Destination Well Known,11000,3 weeks ago,jPYRT0k2tDs,The 25 Worst Tourist Behaviors in Paris (Stop Doing This!),Les Frenchies,106000,2 weeks ago,2
MULrP0nEIM4,The 18 Best Things to Do in Paris (By a Travel Expert) 🇫🇷,Destination Well Known,11000,3 weeks ago,yv7PLNuijYo,5 Must Eat Foods in New Zealand!! 🇳🇿 I Can’t Stop Eating!!,Mark Wiens,877000,2 weeks ago,2
MULrP0nEIM4,The 18 Best Things to Do in Paris (By a Travel Expert) 🇫🇷,Destination Well Known,11000,3 weeks ago,mq2flSCaW5M,"Freediving for Big creamy South Island Kina, crayfish and Pāua",KaiDownUnder,41000,2 weeks ago,2
MULrP0nEIM4,The 18 Best Things to Do in Paris (By a Travel Expert) 🇫🇷,Destination Well Known,11000,3 weeks ago,QNWWDryO9ew,Cray season opening King Island 2024,Tidal Spearfishing,3400,3 weeks ago,2
MULrP0nEIM4,The 18 Best Things to Do in Paris (By a Travel Expert) 🇫🇷,Destination Well Known,11000,3 weeks ago,RYC_MTYieXQ,Japanese Fishermen Use Robots To Catch And Process Billions Of Squid And Tuna,Tony 98 - Discovery,1200000,4 months ago,2
MULrP0nEIM4,The 18 Best Things to Do in Paris (By a Travel Expert) 🇫🇷,Destination Well Known,11000,3 weeks ago,yiujIT_zeaQ,Why 4 Of The World's Priciest Seafoods Are So Expensive | So Expensive Food | Business Insider,Business Insider,7000000,2 years ago,2
MULrP0nEIM4,The 18 Best Things to Do in Paris (By a Travel Expert) 🇫🇷,Destination Well Known,11000,3 weeks ago,tLmWBSkyKFM,Dying for Eggs!! Papua’s Dangerous Island Food!!,Best Ever Food Review Show,1158981,1 day ago,2
