Source Video ID,Source Title,Source Channel Name,Source Views,Source Publish Time,Target Video ID,Target Title,Target Channel Name,Target Views,Target Publish Time,Depth
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,44K views,1 month ago,MULrP0nEIM4,The 18 Best Things to Do in Paris (By a Travel Expert) 🇫🇷,Destination Well Known,13K views,1 month ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,44K views,1 month ago,1VOGncgkjIo,TOP 5 BUDGET FRIENDLY RESTAURANTS IN PARIS! (with pricing and dish recommendations),Arielle in Paris,64K views,3 months ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,44K views,1 month ago,EmjmJ4w-p2Y,5 things tourists ALWAYS overpay for in Paris,Love and Paris,43K views,2 months ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,44K views,1 month ago,9sLxsIYjxrk,The Paris Metro - Everything You Need to Know,Paris in my Pocket,61K views,7 months ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,44K views,1 month ago,uMrDZZmUMOc,Paris Travel Guide 2024: Essential Tips and Must-See Attractions,David of the Coast,1.1K views,4 weeks ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,44K views,1 month ago,xGxYepW3bRE,21 Things I Wish I Knew Before Visiting London 🇬🇧,Destination Well Known,26K views,3 weeks ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,44K views,1 month ago,KozRK9ezABY,All Paris arrondissements - by a local,a musing Aida,123K views,6 months ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,44K views,1 month ago,TfI9nEKdGfg,48 Hours in Paris: What to Do & Not to Do (by a Local)!,Lucile,430K views,9 months ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,44K views,1 month ago,RmM4YI4S_z4,The 5 MISTAKES EVERYONE MAKES when VISITING PARIS,The Earful Tower,11K views,1 month ago,1
OJ6yd5mmuAU,20 Things I Wish I Knew Before Visiting Paris in 2024 🇫🇷,Destination Well Known,44K views,1 month ago,sHKXlAnVgo8,Why is it so Easy to be Thin in France?,Lucile,489K views,1 month ago,1
